
~22;42;785
;~22;44;827
;~22;44;815
;~22;44;809
;~22;45;902
;~22;44;956
;~22;44;897
;~22;43;870
;~22;42;740
;~22;41;757
;~22;41;715
;~22;41;711
;~22;41;709
;~22;41;708
;~22;41;710
;~22;40;713
;~22;40;715
;~22;40;720
;~22;40;715
;~22;40;716
;~22;40;722
;~22;40;726
;~22;40;723
;~22;40;723
;~22;40;724
;~22;40;726
;~22;39;725
;~22;39;720
;~22;39;718
;~22;39;722
;~22;39;724
;~22;39;719
;~22;39;716
;~22;39;718
;~22;39;718
;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~23;39;579
;~23;39;585
;~23;39;600
;~23;39;589
;~23;40;611
;~23;40;615
;~23;39;611
;~23;39;607
;~23;39;617
;~23;39;618
;~23;38;622
;~23;38;618
;~23;38;600
;~23;38;619
;~23;38;645
;~23;45;666
;~29;99;666
;~27;99;833
;~26;99;825
;~26;99;593
;~25;99;604
;~25;99;618
;~25;99;600
;~25;99;587
;~24;99;586
;~24;99;576
;~24;99;561
;~24;99;568
;~24;99;570
;~24;99;557
;~24;99;562
;~24;99;556
;~23;99;568
;~23;99;573
;~23;99;552
;~23;99;578
;~23;99;589
;~23;99;596
;~23;99;585
;~23;99;579
;~23;99;583
;~23;99;598
;~23;99;600
;~23;99;581
;~23;99;583
;~23;99;598
;~23;99;656
;~23;99;581
;~;~;~;~;~;~;~;~;~;~;~;~;~;
